Feature1, Feature2, Correlation, P-Value
tot_time_spent,num students,0.712886047604363, 2.137865876902003e-142
tot_time_spent,average time to solve,0.5763688949943997, 7.489274268836539e-82
tot_time_spent,num_success,0.5075958402752365, 6.941342206839242e-61
tot_time_spent,num_failed,0.5966391762455484, 4.959716844007875e-89
tot_time_spent,question_length,0.22284170363025296, 1.002076442287751e-11
tot_time_spent,person_name_count,0.07025657634595511, 0.0338869744263505
tot_time_spent,conjunction_phrase_count,0.0553748176308138, 0.09466801004729752
tot_time_spent,preposition_phrase_count,0.19467982976117834, 3.067484966941648e-09
tot_time_spent,math_symbols_count,-0.025149660948551283, 0.44810297439150726
tot_time_spent,success_rate,-0.18321520782059292, 2.5092876431003357e-08
tot_time_spent,Adding-Decimals,0.10560230985230108, 0.0014047182053512216
tot_time_spent,Addition,-0.04736309095889488, 0.15295411113342003
tot_time_spent,Algebraic-Manipulation,-0.02173506411738739, 0.5121061326842334
tot_time_spent,Area,0.07554533097668653, 0.022515860169227273
tot_time_spent,Area-Concept,-0.013752965158692922, 0.6783026405549639
tot_time_spent,Area-of-Circle,0.008837091730917767, 0.7898437567296802
tot_time_spent,Circle-Graph,-0.007218196428763667, 0.8276717262169793
tot_time_spent,Circumference,-0.017690813999711653, 0.5936460532996228
tot_time_spent,Combinatorics,-0.02043618850659571, 0.5376455270875188
tot_time_spent,Comparing-Fractions,0.004967429565381397, 0.8809158863974629
tot_time_spent,Compounding_Interest,0.01782547002774945, 0.5908381674591695
tot_time_spent,Congruence,0.019637692198724296, 0.5536570377631401
tot_time_spent,Conversion-of-fractions-decimals-percents,-0.03058277241858845, 0.35625292266786757
tot_time_spent,Discount,0.06969676247226736, 0.03533756143907669
tot_time_spent,Divide-Decimals,0.015247427340825641, 0.645618561232742
tot_time_spent,Divisibility,0.08240486758060217, 0.012796096629687573
tot_time_spent,Division,-0.015010241069884325, 0.6507625092956175
tot_time_spent,Equation-Concept,0.023550723354593905, 0.47749372338447876
tot_time_spent,Equation-Solving,-0.034848723916798434, 0.29312801339091843
tot_time_spent,Equivalent-Fractions-Decimals-Percents,-0.0472959420164121, 0.15353783675583638
tot_time_spent,Evaluating-Functions,0.022117510137055565, 0.5047084494471236
tot_time_spent,Exponents,-0.04765936048422627, 0.15039874913570275
tot_time_spent,Finding-Percents,0.10761144987807836, 0.0011347496378496
tot_time_spent,Fraction-Decimals-Percents,-0.09598231736588674, 0.003715848250734972
tot_time_spent,Fraction-Division,-0.037553883862943505, 0.25723664851144595
tot_time_spent,Fraction-Multiplication,-0.00019383531096716852, 0.9953358568408146
tot_time_spent,Fractions,0.005903637841970646, 0.858689214627046
tot_time_spent,Increasing_Percent_Sales_Tax,-0.003174910291316056, 0.9237199774250012
tot_time_spent,Inducing-Functions,-0.025275553128380986, 0.4458332962207141
tot_time_spent,Integers,-0.0196110670211811, 0.5541949185940918
tot_time_spent,Interpreting-Linear-Equations,-0.0325376990126057, 0.32633183528610415
tot_time_spent,Interpreting-Numberline,-0.03688422063600892, 0.2658244020310591
tot_time_spent,Isosceles-Triangle,0.019188653856895027, 0.5627624809076902
tot_time_spent,Knowing_English_and_Metric_Terms,-0.02821399398382787, 0.3947444714979662
tot_time_spent,Least-Common-Multiple,-0.026305331784522195, 0.42751487843893193
tot_time_spent,Linear-Area-Volume-Conversion,-0.05368325503383413, 0.10520141867061797
tot_time_spent,Making-Sense-of-Expressions-and-Equations,-0.04411586854219916, 0.18315910083213058
tot_time_spent,Mean,0.06334901884873581, 0.05582545582517802
tot_time_spent,Meaning-of-PI,-0.019240849718824025, 0.5617003753572739
tot_time_spent,Measurement,-0.03133285329322239, 0.3445742628414577
tot_time_spent,Median,0.1179559778503391, 0.00035728664656788404
tot_time_spent,Multiplication,-0.03559582231813076, 0.2828960696898429
tot_time_spent,Multiplying-Decimals,0.061656109847272336, 0.06271721276171893
tot_time_spent,Multiplying-Positive-Negative-Numbers,-0.020374542443562144, 0.53887334042868
tot_time_spent,Number-Line,0.038511140581560084, 0.24529765619406285
tot_time_spent,Of-Means-Multiply,-0.011128758885654526, 0.7371494358420021
tot_time_spent,Ordering-Fractions,0.006779366549904398, 0.8379987796429628
tot_time_spent,Ordering-Numbers,-0.011749981588708328, 0.7230636844163306
tot_time_spent,Order-of-Operations,0.01041685389840184, 0.7534001516709574
tot_time_spent,Pattern-Finding,-0.005978624226342689, 0.8569135369245842
tot_time_spent,Percent-Of,0.11255294323432256, 0.0006611848514481678
tot_time_spent,Percents,-0.030154138541178592, 0.3630372243990042
tot_time_spent,Perimeter,0.06450334225082091, 0.051497002763999815
tot_time_spent,Point-Plotting,0.04688950772833032, 0.15710711861985147
tot_time_spent,Prime-Number,0.012780807937454938, 0.6998978763819946
tot_time_spent,Probability,-0.021419658740454345, 0.5182492590986877
tot_time_spent,Properties-of-Geometric-Figures,-0.0016370821331531194, 0.9606236186515682
tot_time_spent,Properties-of-Solids,-0.004812347154141585, 0.8846072686653633
tot_time_spent,Proportion,-0.017744061231621398, 0.592534998020946
tot_time_spent,Pythagorean-theorem,0.028958373577976742, 0.3823865185625468
tot_time_spent,Range,-0.020644630130403335, 0.5335043829626772
tot_time_spent,Rate,0.08064827551067064, 0.014844387140877727
tot_time_spent,Rate-with-Distance-and-Time,-0.007945939218226403, 0.8106118474892845
tot_time_spent,Reading-graph,0.0560623905980918, 0.09063530405069879
tot_time_spent,Reciprocal,-0.030309555055503666, 0.3605680598800601
tot_time_spent,Reduce-Fraction,-0.039854367391559266, 0.22920760055544376
tot_time_spent,Rounding,0.006943520921173403, 0.8341323454511086
tot_time_spent,Scale,-0.028336770322701644, 0.39268973383278705
tot_time_spent,Scientific-Notation,0.03457863120782431, 0.2968873731962599
tot_time_spent,Similar-Triangles,-0.03931669719450377, 0.23555578214889644
tot_time_spent,Slope,0.05204218270246261, 0.11628759896318352
tot_time_spent,Square-Root,-0.0012790112969009318, 0.9692313584507986
tot_time_spent,Statistics,0.03128625223759629, 0.3452926512128771
tot_time_spent,Stem-and-Leaf-Plot,0.03680635684473521, 0.2668355680112467
tot_time_spent,Substitution,-0.01521837992868255, 0.6462476212031243
tot_time_spent,Subtracting-Decimals,0.0031895876312146125, 0.9233684233761393
tot_time_spent,Subtraction,-0.07015344329473021, 0.03415032745708751
tot_time_spent,Sum-Of-Interior-Angles-more-than-3-Sides,0.08346748061835971, 0.011682018815649895
tot_time_spent,Sum-of-Interior-Angles-Triangle,-0.0722519271676064, 0.029122826723414444
